Date,Close,Index,Country,Close_1day,Relative,Bm
2020-03-02,706.65,^OMXVGI: Lithuania,Lithuania,710.84,0.99,2.0
2020-03-03,715.45,^OMXVGI: Lithuania,Lithuania,710.84,1.01,1.0
2020-03-04,715.51,^OMXVGI: Lithuania,Lithuania,710.84,1.01,1.0
2020-03-05,708.73,^OMXVGI: Lithuania,Lithuania,710.84,1.0,1.0
2020-03-06,694.78,^OMXVGI: Lithuania,Lithuania,710.84,0.98,2.0
2020-03-09,678.68,^OMXVGI: Lithuania,Lithuania,710.84,0.95,2.0
2020-03-10,682.29,^OMXVGI: Lithuania,Lithuania,710.84,0.96,2.0
2020-03-11,682.29,^OMXVGI: Lithuania,Lithuania,710.84,0.96,2.0
2020-03-12,618.39,^OMXVGI: Lithuania,Lithuania,710.84,0.87,3.0
2020-03-13,625.42,^OMXVGI: Lithuania,Lithuania,710.84,0.88,2.0
2020-03-16,585.09,^OMXVGI: Lithuania,Lithuania,710.84,0.82,3.0
2020-03-17,585.52,^OMXVGI: Lithuania,Lithuania,710.84,0.82,3.0
2020-03-18,584.43,^OMXVGI: Lithuania,Lithuania,710.84,0.82,3.0
2020-03-19,594.49,^OMXVGI: Lithuania,Lithuania,710.84,0.84,3.0
2020-03-20,606.62,^OMXVGI: Lithuania,Lithuania,710.84,0.85,3.0
2020-03-23,594.18,^OMXVGI: Lithuania,Lithuania,710.84,0.84,3.0
2020-03-24,599.84,^OMXVGI: Lithuania,Lithuania,710.84,0.84,3.0
2020-03-25,598.69,^OMXVGI: Lithuania,Lithuania,710.84,0.84,3.0
2020-03-26,601.32,^OMXVGI: Lithuania,Lithuania,710.84,0.85,3.0
2020-03-27,601.04,^OMXVGI: Lithuania,Lithuania,710.84,0.85,3.0
2020-03-30,602.3,^OMXVGI: Lithuania,Lithuania,710.84,0.85,3.0
2020-03-31,604.56,^OMXVGI: Lithuania,Lithuania,710.84,0.85,3.0
2020-04-01,601.51,^OMXVGI: Lithuania,Lithuania,710.84,0.85,3.0
2020-04-02,601.24,^OMXVGI: Lithuania,Lithuania,710.84,0.85,3.0
2020-04-03,600.64,^OMXVGI: Lithuania,Lithuania,710.84,0.84,3.0
2020-04-06,608.44,^OMXVGI: Lithuania,Lithuania,710.84,0.86,3.0
2020-04-07,637.04,^OMXVGI: Lithuania,Lithuania,710.84,0.9,2.0
2020-04-08,644.75,^OMXVGI: Lithuania,Lithuania,710.84,0.91,2.0
2020-04-09,651.32,^OMXVGI: Lithuania,Lithuania,710.84,0.92,2.0
2020-04-13,651.32,^OMXVGI: Lithuania,Lithuania,710.84,0.92,2.0
2020-04-14,667.12,^OMXVGI: Lithuania,Lithuania,710.84,0.94,2.0
2020-04-15,667.12,^OMXVGI: Lithuania,Lithuania,710.84,0.94,2.0
2020-04-16,668.6,^OMXVGI: Lithuania,Lithuania,710.84,0.94,2.0
2020-04-17,677.79,^OMXVGI: Lithuania,Lithuania,710.84,0.95,2.0
2020-04-20,675.9,^OMXVGI: Lithuania,Lithuania,710.84,0.95,2.0
2020-04-21,672.7,^OMXVGI: Lithuania,Lithuania,710.84,0.95,2.0
2020-04-22,679.98,^OMXVGI: Lithuania,Lithuania,710.84,0.96,2.0
2020-04-23,684.29,^OMXVGI: Lithuania,Lithuania,710.84,0.96,2.0
2020-04-24,687.92,^OMXVGI: Lithuania,Lithuania,710.84,0.97,2.0
2019-12-02,13.39,NGE: Nigeria,Nigeria,13.39,1.0,1.0
