Country/Region,Confirmed,Date,Variation_Active_1week,Variation_Active_2weeks,Variation_Active_1day,Started declining_days,max_variation,index
San Marino,655.0,2020-05-19,0.07568807339449543,0.1162280701754386,0.01707317073170732,2 weeks ago,0.1162280701754386,83
Singapore,28794.0,2020-05-19,0.11500552911197652,-0.029877468807698763,0.004273504273504274,1 week ago,0.11500552911197652,84
Diamond Princess,712.0,2020-05-19,0.0,0.1111111111111111,0.0,2 weeks ago,0.1111111111111111,85
North Macedonia,1839.0,2020-05-19,-0.013262599469496022,0.1053864168618267,0.07281553398058252,2 weeks ago,0.1053864168618267,86
Jamaica,520.0,2020-05-19,0.08040201005025126,0.10294117647058824,0.036842105263157884,2 weeks ago,0.10294117647058824,87
Morocco,7023.0,2020-05-19,0.09570855202222907,0.0846875,0.024317121918720853,2 weeks ago,0.09570855202222907,88
Mali,901.0,2020-05-19,-0.09246575342465753,0.09375,-0.02903225806451613,2 weeks ago,0.09375,89
Gambia,24.0,2020-05-19,0.09090909090909093,-0.42857142857142855,0.0,1 week ago,0.09090909090909093,90
Portugal,29432.0,2020-05-19,0.08354046425411804,0.049421018134149015,-0.009560051976981622,1 week ago,0.08354046425411804,91
Ghana,6096.0,2020-05-19,0.06918238993710693,-0.7831325301204819,-0.0860323886639676,1 week ago,0.06918238993710693,92
Congo (Brazzaville),420.0,2020-05-19,-0.01486988847583643,-0.365,0.04878048780487805,no declining,0.04878048780487805,93
Zimbabwe,46.0,2020-05-19,-0.043478260869565216,0.04,0.0,no declining,0.04,94
Kazakhstan,6751.0,2020-05-19,-0.031084656084656083,-0.0762858129099068,0.0397289805974746,no declining,0.0397289805974746,95
France,180933.0,2020-05-19,0.034529248745412335,0.0225115916280279,-0.0029344419002734373,no declining,0.034529248745412335,96
Peru,99483.0,2020-05-19,-0.28636616821629035,-0.748951415588955,0.028995116271548237,no declining,0.028995116271548237,97
United Arab Emirates,25063.0,2020-05-19,-0.04454856462888592,-0.18094677541410914,0.023907151296128987,no declining,0.023907151296128987,98
Mongolia,140.0,2020-05-19,-3.2222222222222223,-3.071428571428572,0.017241379310344827,no declining,0.017241379310344827,99
Guyana,125.0,2020-05-19,-0.02985074626865672,-0.23214285714285715,0.014285714285714284,no declining,0.014285714285714284,100
Saudi Arabia,59854.0,2020-05-19,-0.0177711283024376,-0.13285946385052802,0.013650670155957138,no declining,0.013650670155957138,101
