Country/Region,Bm,DATE,Feature
South Korea,3.0,2020-04-13,Measure
South Sudan,3.0,2020-04-13,Measure
Spain,2.0,2020-04-13,Measure
Sri Lanka,2.0,2020-04-13,Measure
Sudan,3.0,2020-04-13,Measure
Suriname,1.0,2020-04-13,Measure
Sweden,3.0,2020-04-13,Measure
Switzerland,2.0,2020-04-13,Measure
Syria,1.0,2020-04-13,Measure
Tajikistan,3.0,2020-04-13,Measure
Tanzania,3.0,2020-04-13,Measure
Thailand,1.0,2020-04-13,Measure
Togo,1.0,2020-04-13,Measure
Tonga,3.0,2020-04-13,Measure
Tunisia,3.0,2020-04-13,Measure
Turkey,2.0,2020-04-13,Measure
Turkmenistan,3.0,2020-04-13,Measure
Tuvalu,3.0,2020-04-13,Measure
Uganda,3.0,2020-04-13,Measure
Ukraine,3.0,2020-04-13,Measure
United Arab Emirates,2.0,2020-04-13,Measure
United Kingdom,3.0,2020-04-13,Measure
United States,3.0,2020-04-13,Measure
Uruguay,2.0,2020-04-13,Measure
Uzbekistan,3.0,2020-04-13,Measure
Vanuatu,3.0,2020-04-13,Measure
Venezuela,2.0,2020-04-13,Measure
Vietnam,3.0,2020-04-13,Measure
Yemen,3.0,2020-04-13,Measure
Zambia,3.0,2020-04-13,Measure
Zimbabwe,2.0,2020-04-13,Measure
kenya,1.0,2020-04-13,Measure
United States,1.0,2019-12-02,INDEX
United States,2.0,2019-12-03,INDEX
United States,1.0,2019-12-04,INDEX
United States,1.0,2019-12-05,INDEX
United States,1.0,2019-12-06,INDEX
United States,1.0,2019-12-09,INDEX
United States,1.0,2019-12-10,INDEX
United States,1.0,2019-12-11,INDEX
United States,1.0,2019-12-12,INDEX
United States,1.0,2019-12-13,INDEX
United States,1.0,2019-12-16,INDEX
United States,1.0,2019-12-17,INDEX
United States,1.0,2019-12-18,INDEX
United States,1.0,2019-12-19,INDEX
United States,1.0,2019-12-20,INDEX
United States,1.0,2019-12-23,INDEX
United States,1.0,2019-12-24,INDEX
United States,1.0,2019-12-26,INDEX
United States,1.0,2019-12-27,INDEX
United States,1.0,2019-12-30,INDEX
United States,1.0,2019-12-31,INDEX
United States,1.0,2020-01-02,INDEX
United States,1.0,2020-01-03,INDEX
United States,1.0,2020-01-06,INDEX
United States,1.0,2020-01-07,INDEX
United States,1.0,2020-01-08,INDEX
United States,1.0,2020-01-09,INDEX
United States,1.0,2020-01-10,INDEX
United States,1.0,2020-01-13,INDEX
United States,1.0,2020-01-14,INDEX
United States,1.0,2020-01-15,INDEX
United States,1.0,2020-01-16,INDEX
United States,1.0,2020-01-17,INDEX
United States,1.0,2020-01-21,INDEX
United States,1.0,2020-01-22,INDEX
United States,1.0,2020-01-23,INDEX
United States,1.0,2020-01-24,INDEX
United States,1.0,2020-01-27,INDEX
United States,1.0,2020-01-28,INDEX
United States,1.0,2020-01-29,INDEX
United States,1.0,2020-01-30,INDEX
United States,1.0,2020-01-31,INDEX
United States,1.0,2020-02-03,INDEX
United States,1.0,2020-02-04,INDEX
United States,1.0,2020-02-05,INDEX
United States,1.0,2020-02-06,INDEX
United States,1.0,2020-02-07,INDEX
United States,1.0,2020-02-10,INDEX
United States,1.0,2020-02-11,INDEX
United States,1.0,2020-02-12,INDEX
United States,1.0,2020-02-13,INDEX
United States,1.0,2020-02-14,INDEX
United States,1.0,2020-02-18,INDEX
United States,1.0,2020-02-19,INDEX
United States,1.0,2020-02-20,INDEX
United States,1.0,2020-02-21,INDEX
United States,1.0,2020-02-24,INDEX
United States,1.0,2020-02-25,INDEX
United States,1.0,2020-02-26,INDEX
United States,2.0,2020-02-27,INDEX
United States,2.0,2020-02-28,INDEX
United States,2.0,2020-03-02,INDEX
United States,2.0,2020-03-03,INDEX
United States,1.0,2020-03-04,INDEX
United States,2.0,2020-03-05,INDEX
United States,2.0,2020-03-06,INDEX
United States,2.0,2020-03-09,INDEX
United States,2.0,2020-03-10,INDEX
United States,2.0,2020-03-11,INDEX
United States,3.0,2020-03-12,INDEX
United States,3.0,2020-03-13,INDEX
United States,3.0,2020-03-16,INDEX
United States,3.0,2020-03-17,INDEX
United States,3.0,2020-03-18,INDEX
United States,3.0,2020-03-19,INDEX
United States,3.0,2020-03-20,INDEX
United States,3.0,2020-03-23,INDEX
United States,3.0,2020-03-24,INDEX
United States,3.0,2020-03-25,INDEX
United States,3.0,2020-03-26,INDEX
United States,3.0,2020-03-27,INDEX
United States,3.0,2020-03-30,INDEX
United States,3.0,2020-03-31,INDEX
United States,3.0,2020-04-01,INDEX
